antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,antecedent_len,consequent_len,rule_score
22916,22917,0.0174573055028463,0.0178368121442125,0.0163946869070208,0.9391304347826088,52.65124884366328,1.0,0.0160833042282224,16.135538086202256,0.9984371200091554,0.8674698795180724,0.9380249983200056,0.9291396854764108,1,1,81.06580863129919
22917,22916,0.0178368121442125,0.0174573055028463,0.0163946869070208,0.9191489361702128,52.65124884366328,1.0,0.0160833042282224,12.152501747727952,0.9988229148777834,0.8674698795180724,0.9177124166892664,0.9291396854764108,1,1,79.34100419233536
"22916, 22918",22917,0.0157874762808349,0.0178368121442125,0.0151043643263757,0.9567307692307692,53.637990998363335,1.0,0.0148227660777232,22.698882563778163,0.9970981614325968,0.8155737704918031,0.9559449678991796,0.9017696399345336,2,1,77.51124221012205
"22917, 22918",22916,0.0160151802656546,0.0174573055028463,0.0151043643263757,0.943127962085308,54.02483000206059,1.0,0.014824782431795,17.27637571157498,0.9974645675151445,0.822314049586777,0.9421174894147496,0.904172676694828,2,1,76.96025226981303
"22916, 22920",22917,0.0154838709677419,0.0178368121442125,0.0148007590132827,0.9558823529411764,53.590425531914896,1.0,0.0145245761155658,22.262365591397877,0.9967738683335012,0.7991803278688523,0.95508114374034,0.8928347934918648,2,1,75.81857837002119
"22919, 22916",22917,0.0151802656546489,0.0178368121442125,0.0145730550284629,0.96,53.82127659574468,1.0,0.0143022874816817,24.554079696394663,0.996547848426461,0.7901234567901233,0.9592735703245748,0.8885106382978722,2,1,75.29668085106331
"22921, 22917","22916, 22918",0.0141176470588235,0.0157874762808349,0.0132827324478178,0.9408602150537634,59.59535256410256,1.0,0.0130598504297354,16.64213903743314,0.9972996931469488,0.7990867579908675,0.939911570396648,0.8911031844499586,2,2,74.47747127280144
"22916, 22921","22917, 22918",0.0140417457305502,0.0160151802656546,0.0132827324478178,0.945945945945946,59.06558216984757,1.0,0.0130578513586985,18.20371916508539,0.9970702738370176,0.7918552036199096,0.9450661707681146,0.8876649161009351,2,2,74.21440910617271
"22920, 22917",22916,0.0158633776091081,0.0174573055028463,0.0148007590132827,0.9330143540669856,53.445496151445816,1.0,0.0145238271840535,14.667958796421816,0.9971068316741616,0.7991803278688526,0.9318241880905784,0.8904202205117537,2,1,73.80459915414407
22918,22917,0.017685009487666,0.0178368121442125,0.0160151802656546,0.9055793991416308,50.77024929230207,1.0,0.0156997360736545,10.402001035018111,0.997952219929822,0.8210116731517508,0.9038646509807564,0.9017258697835814,1,1,73.63218049344246
