antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,antecedent_len,consequent_len
"22699, 22698",22697,0.007254042617500378,0.014205833459271573,0.006649539066042013,0.9166666666666667,64.52748226950355,1.0,0.0065464893447113445,11.82952999848875,0.9916965360716312,0.4489795918367347,0.9154657877254843,0.6923758865248227,2,1
"22698, 22697",22699,0.0086141756082817,0.01511258878645912,0.006649539066042013,0.7719298245614035,51.07859649122807,1.0,0.006519356572339706,4.318352495320909,0.9889412416851442,0.3893805309734514,0.7684302054814802,0.6059649122807018,2,1
22698,22697,0.011636693365573523,0.014205833459271573,0.0086141756082817,0.7402597402597403,52.10956065211384,1.0,0.00844886668031375,3.7953075411818045,0.9923574226085089,0.5000000000000001,0.7365167409625482,0.6733213594915723,1,1
"22699, 22697",22698,0.009672056823333837,0.011636693365573523,0.006649539066042013,0.6875,59.08035714285714,1.0,0.006536988306574475,3.1627625812301647,0.9926751106363498,0.45360824742268047,0.6838207186544343,0.6294642857142857,2,1
22697,22699,0.014205833459271573,0.01511258878645912,0.009672056823333837,0.6808510638297872,45.051914893617024,1.0,0.009457369903894943,3.085980555135761,0.9918940671470183,0.49230769230769234,0.6759538881942154,0.6604255319148936,1,1
22699,22697,0.01511258878645912,0.014205833459271573,0.009672056823333837,0.64,45.051914893617024,1.0,0.009457369903894943,2.738317129279801,0.9928072732852541,0.49230769230769234,0.6348122029740917,0.6604255319148936,1,1
21733,85123A,0.013299078132084027,0.04669789935015868,0.008463049720417108,0.6363636363636364,13.627243306854957,1.0,0.007842010708355152,2.621580776787064,0.9391068420016192,0.16422287390029328,0.618550758056148,0.40879670491320974,1,1
22698,22699,0.011636693365573523,0.01511258878645912,0.007254042617500378,0.6233766233766234,41.24883116883117,1.0,0.007078182055832348,2.615045884946298,0.9872451580020387,0.372093023255814,0.6175975321287581,0.5516883116883117,1,1
22726,22727,0.01133444158984434,0.013299078132084027,0.0069517908417711955,0.6133333333333333,46.11848484848484,1.0,0.006801053217484313,2.551812728968748,0.9895325189743862,0.3931623931623932,0.6081217133813244,0.568030303030303,1,1
22697,22698,0.014205833459271573,0.011636693365573523,0.0086141756082817,0.6063829787234043,52.10956065211385,1.0,0.00844886668031375,2.510977049287462,0.9949436676160737,0.5000000000000001,0.6017486498796278,0.6733213594915723,1,1
